order,title,prompt,type,is_bonus,base_points,correct_answer,choices,hint
1,open ports,"Your task is to find all the opened ports in your network. Answer should be formatted as follows: Order the ports in a descending order, separated by a comma(E.g. in case you find ports 50, 330 and 40 opened your answer should be:330,50,40)",text,0,5,"139,80,22",,
2,attack tool,The SOC team detected a Web vulnerability scanning attempt in the new web server. Can you tell which tool was used to perform this scan?,text,0,5,burpsuite,,
3,attack type,"After the scanning an attack was performed against the web server, it was around 7:30 hr. Can you tell which attack was it? (E.g: Sqli, command_injection, XSS, etc)",text,0,5,XSS,,
4,attacked users,The SOC team also informed us that the SIEM system detected that there was an SSH brute-force attack into the same web server. They left a log file for you to analyze in the ‘/var/log/siem’ directory.Can you tell which user was targeted?,text,0,5,admin_db,,
5,Brute-force session,Can you tell what session id was created for him?,text,0,5,530,,
6,attacked users password,"Apparently, the attacker found that there was no password policy or any other security measure on the SSH service, and the password used by the victim was very simple. We’ve prepared for you a potential password list in the ‘/home/user/cracking_admin_accounts_password’ directory. All the tools for this task are already installed on the localhost (the server itself), can you tell which password the attacker used?",text,0,5,admin321,,
7,attacker ip&port,"Since the SSH brute-force attack we detected an out-coming connection from the web server to another IP address once every minute exactly. We changed the network configuration, but we managed to capture a .pcap file with wireshark(On desktop, in WebServer VM).Can you tell to which IP and port it tries to connect to? (use a ‘:’ between the IP and the PORT)",text,0,5,192.168.102.149:2222,,
8,attacker software,What software it is used to perform the connection to the external IP address?,text,0,5,ncat,,
9,service name,What is the name of the service that runs that software every single minute?,text,0,5,cron,,
10,service stop,"We need to stop this service so we can start patching the web server, do it as fast as you can in case the machine is still compromised. After you do it wait a few seconds, to get confirmation from the NOC team, they are updating some firewall rules.",text,0,5,KERNEL{G4tekeep3r},,
11,user policy,"In the Domain Controller, the NOC team found something weird in a policy configuration. Which user gets the policy ""finalpolicy""?",text,0,5,Shalom,,
12,user permission,"In the domain we have a user called Dor, he cannot connect to the domain controller because he is not an administrator. The problem is that he forgot vital information on the desktop and the admin cannot retrieve it, he doesn’t have permissions!!!Give Dor a new password and the right permissions to get the file on the desktop.",text,0,5,KERNEL{Syst3m4},,
13,malware MD5,We have been alerted about a strange behavior in a user’s computer. The name of the guy is David.Can you tell what is the MD5 hash of that software?,text,0,5,FBDEC84CA35EF009F2AB39373163F52D,,
14,malware type,What type of malware is it?,text,0,5,ransomware,,
15,C&C ip,"The malware is trying to connect to his master, what is the IP address of the C&C server (Command & Control)?",text,0,5,190.45.52.69,,
16,malware url,What is the URL for the file it tries to download?,text,0,5,http://190.45.52.69/winpeas.exe,,
17,persistence method,"What is the persistence method it uses? (E.g: service (=Proccess), registry, new user, etc )",text,0,5,service,,
18,created service name,What is the name of the created service(=Proccess)?,text,0,5,executor,,
19,encryption type,"What type of encryption it uses? (E.g: RSA, AES, CBC)",text,0,5,AES,,
20,encrypted content,"After you discover the key, can you tell us what was the content of the encrypted file?",text,0,5,kernel{f1n4l_miss10n_achi3ved},,
